metric_id,metric_name,category,definition,source,priority,aliases,status
closing_costs,Closing Costs,Investment Basis,"Transfer tax, legal, due diligence, title, etc.",Acquisition Model / Closing Docs; Business Plan / Budget,High,['Closing Costs'],missing
total_acquisition_cost_all_in_basis,Total Acquisition Cost / All-in Basis,Investment Basis,True entry cost before operations,Acquisition Model / Closing Docs; Business Plan / Budget,High,"['Total Acquisition Cost / All-in Basis', 'All-in Basis', 'Total Basis', 'Acquisition Basis', 'Total Acquisition Cost', 'Basis', 'Cost Basis']",missing
initial_capex_budget,Initial CapEx Budget,Investment Basis,Planned improvement spend at acquisition,Acquisition Model / Closing Docs; Business Plan / Budget; CapEx Tracker,High,"['Initial CapEx Budget', 'CapEx', 'Capital Expenditure', 'Capital Costs', 'Capital Allocation']",missing
total_project_cost,Total Project Cost,Investment Basis,Full cost to execute business plan,Acquisition Model / Closing Docs; Business Plan / Budget; CapEx Tracker,High,['Total Project Cost'],missing
equity_invested,Equity Invested,Investment Basis,Cash capital contributed,Acquisition Model / Closing Docs; Business Plan / Budget,High,['Equity Invested'],missing
basis_per_sf_per_unit_per_key,Basis per SF / per Unit / per Key,Investment Basis,Cost normalized for comparability,Acquisition Model / Closing Docs; Business Plan / Budget,High,"['Basis per SF / per Unit / per Key', 'Basis per SF', 'per Unit', 'per Key', 'Basis', 'Total Basis', 'Cost Basis']",missing
basis_vs_market_replacement_cost,Basis vs Market Replacement Cost,Investment Basis,Whether basis is below/above replacement,Acquisition Model / Closing Docs; Business Plan / Budget,High,"['Basis vs Market Replacement Cost', 'Basis', 'Total Basis', 'Cost Basis']",missing
going_in_cap_rate,Going-in Cap Rate,Investment Basis,Yield at entry on in-place NOI,Acquisition Model / Closing Docs; Business Plan / Budget,High,"['Going-in Cap Rate', 'Capitalization Rate', 'Exit Cap Rate', 'Cap Rate']",missing
yield_on_cost,Yield on Cost,Investment Basis,Stabilized return on total cost,Acquisition Model / Closing Docs; Business Plan / Budget,High,['Yield on Cost'],missing
mark_to_market_basis_gap,Mark-to-Market Basis Gap,Investment Basis,Difference between actual basis and current market value,Acquisition Model / Closing Docs; Business Plan / Budget,High,"['Mark-to-Market Basis Gap', 'Basis', 'Total Basis', 'Cost Basis']",missing
potential_gross_revenue_pgr_potential_gross_income_pgi,Potential Gross Revenue (PGR) / Potential Gross Income (PGI),Operating Performance,Revenue if all space were leased at scheduled rent plus recoveries and other ...,Financial Statement / GL,High,"['Potential Gross Revenue (PGR) / Potential Gross Income (PGI)', 'Potential Gross Revenue / Potential Gross Income', 'Potential Gross Revenue (PGR)', 'Potential Gross Income (PGI)', 'Revenue', 'Total Revenue', 'Total Operating Revenue', 'Effective Gross Revenue', 'EGI']",missing
vacancy_loss,Vacancy Loss,Operating Performance,Revenue lost from vacant space,Financial Statement / GL,Medium,['Vacancy Loss'],missing
credit_loss_bad_debt,Credit Loss / Bad Debt,Operating Performance,Revenue billed but not collected,Financial Statement / GL; Loan / Debt Docs,Medium,"['Credit Loss / Bad Debt', 'Credit Loss', 'Bad Debt']",missing
effective_gross_revenue_egi,Effective Gross Revenue / EGI,Operating Performance,Revenue actually expected to be collected,Financial Statement / GL,High,"['Effective Gross Revenue / EGI', 'EGR', 'Effective Gross Income', 'Total Operating Revenue', 'Effective Gross Revenue', 'EGI', 'Revenue', 'Total Revenue']",missing
recoveries_cam_reimbursement,Recoveries / CAM Reimbursement,Operating Performance,Amount reimbursed by tenants,Financial Statement / GL,Medium,"['Recoveries / CAM Reimbursement', 'Recoveries', 'CAM Reimbursement']",missing
net_operating_income_noi,Net Operating Income (NOI),Operating Performance,Core operating earnings before capex and debt,Financial Statement / GL,High,"['Net Operating Income (NOI)', 'NOI', 'Net Operating Income']",missing
noi_margin,NOI Margin,Operating Performance,Efficiency of operations,Source File,High,"['NOI Margin', 'NOI', 'Net Operating Income']",missing
leasing_costs,Leasing Costs,Operating Performance,Tenant improvements + leasing commissions + legal for leases,Financial Statement / GL; Rent Roll / Lease Data,Medium,['Leasing Costs'],missing
capital_expenditures,Capital Expenditures,Operating Performance,Non-recurring or strategic capital spend,Financial Statement / GL; CapEx Tracker,Low,"['Capital Expenditures', 'CapEx', 'Capital Expenditure', 'Capital Costs', 'Capital Allocation']",missing
free_cash_flow_before_debt_service,Free Cash Flow Before Debt Service,Operating Performance,Cash available before financing,Financial Statement / GL; Loan / Debt Docs,High,"['Free Cash Flow Before Debt Service', 'Debt Service', 'Debt Payment', 'Loan Payment']",missing
cash_flow_after_debt_service,Cash Flow After Debt Service,Operating Performance,Residual cash after financing costs,Financial Statement / GL; Loan / Debt Docs,High,"['Cash Flow After Debt Service', 'Debt Service', 'Debt Payment', 'Loan Payment']",missing
cash_available_for_distribution,Cash Available for Distribution,Operating Performance,True distributable cash,Financial Statement / GL,Low,['Cash Available for Distribution'],missing
noi_growth,NOI Growth,Operating Performance,Change in NOI over time,Source File,High,"['NOI Growth', 'NOI', 'Net Operating Income']",missing
same_store_noi_growth,Same-Store NOI Growth,Operating Performance,Growth excluding acquisitions/dispositions/development disruptions,Source File,High,"['Same-Store NOI Growth', 'NOI', 'Net Operating Income']",missing
physical_occupancy,Physical Occupancy,Leasing & Income Durability,Space occupied,Business Plan / Budget; Rent Roll / Lease Data,High,"['Physical Occupancy', 'Occupancy', 'Occupied %', 'Economic Occupancy', 'Occupied', 'Vacancy']",missing
economic_occupancy,Economic Occupancy,Leasing & Income Durability,Revenue occupancy,Business Plan / Budget; Rent Roll / Lease Data,High,"['Economic Occupancy', 'Occupancy', 'Occupied %', 'Physical Occupancy', 'Occupied', 'Vacancy']",missing
leased_occupancy,Leased Occupancy,Leasing & Income Durability,Space leased including not yet occupied,Business Plan / Budget; Rent Roll / Lease Data,High,"['Leased Occupancy', 'Occupancy', 'Occupied %', 'Physical Occupancy', 'Economic Occupancy', 'Occupied', 'Vacancy']",missing
vacancy_rate,Vacancy Rate,Leasing & Income Durability,Unleased space share,Business Plan / Budget; Rent Roll / Lease Data,Medium,['Vacancy Rate'],missing
walt_wale,WALT / WALE,Leasing & Income Durability,Weighted average remaining lease term,Business Plan / Budget; Rent Roll / Lease Data,High,"['WALT / WALE', 'WALT', 'WALE', 'Weighted Average Lease Term']",missing
rollover_by_year,Rollover by Year,Leasing & Income Durability,Lease expiration concentration,Business Plan / Budget; Rent Roll / Lease Data,Medium,['Rollover by Year'],missing
top_tenant_concentration,Top Tenant Concentration,Leasing & Income Durability,Exposure to major tenants,Rent Roll / Lease Data; CapEx Tracker,Medium,['Top Tenant Concentration'],missing
tenant_industry_concentration,Tenant Industry Concentration,Leasing & Income Durability,Exposure by trade sector,Rent Roll / Lease Data; CapEx Tracker,Medium,['Tenant Industry Concentration'],missing
lease_type_mix,Lease Type Mix,Leasing & Income Durability,Gross / modified gross / NNN mix,Rent Roll / Lease Data; CapEx Tracker,Medium,['Lease Type Mix'],missing
in_place_rent,In-place Rent,Leasing & Income Durability,Current contractual base rent,Rent Roll / Lease Data,Medium,['In-place Rent'],missing
market_rent,Market Rent,Leasing & Income Durability,Current achievable rent,Rent Roll / Lease Data,Medium,['Market Rent'],missing
mark_to_market,Mark-to-Market,Leasing & Income Durability,Embedded upside/downside,Rent Roll / Lease Data; CapEx Tracker,Medium,['Mark-to-Market'],missing
new_lease_rent_spread,New Lease Rent Spread,Leasing & Income Durability,Pricing on new deals,Rent Roll / Lease Data,Medium,['New Lease Rent Spread'],missing
renewal_spread,Renewal Spread,Leasing & Income Durability,Change on renewals,Rent Roll / Lease Data,Medium,['Renewal Spread'],missing
ti_per_sf_lc_per_sf,TI per SF / LC per SF,Leasing & Income Durability,Cost to lease space,Financial Statement / GL; Rent Roll / Lease Data,Medium,"['TI per SF / LC per SF', 'TI per SF', 'LC per SF', 'TI/LC', 'TI & LC', 'Tenant Improvements', 'Leasing Commissions']",missing
lease_up_velocity,Lease-up Velocity,Leasing & Income Durability,Speed of absorption,Rent Roll / Lease Data,Medium,['Lease-up Velocity'],missing
downtime,Downtime,Leasing & Income Durability,Time between occupancy events,Rent Roll / Lease Data,Medium,['Downtime'],missing
net_effective_rent,Net Effective Rent,Leasing & Income Durability,Rent after concessions and leasing costs,Rent Roll / Lease Data,Medium,['Net Effective Rent'],missing
retention_rate,Retention Rate,Leasing & Income Durability,Share of tenants renewed,Rent Roll / Lease Data,Medium,['Retention Rate'],missing
tenant_delinquency_rate,Tenant Delinquency Rate,Leasing & Income Durability,Collection risk,Financial Statement / GL; Rent Roll / Lease Data,Medium,['Tenant Delinquency Rate'],missing
sales_per_sf,Sales per SF,Leasing & Income Durability,Tenant productivity,Rent Roll / Lease Data,Medium,['Sales per SF'],missing
occupancy_cost_ratio_occupancy_ratio,Occupancy Cost Ratio / Occupancy Ratio,Leasing & Income Durability,Affordability of rent to tenant,Rent Roll / Lease Data,High,"['Occupancy Cost Ratio / Occupancy Ratio', 'Occupancy', 'Occupied %', 'Physical Occupancy', 'Economic Occupancy', 'Occupancy Cost Ratio', 'Occupancy Ratio', 'Occupied', 'Vacancy']",missing
rent_to_sales_ratio_health_ratio,Rent-to-Sales Ratio / Health Ratio,Leasing & Income Durability,Retail tenant health proxy,Rent Roll / Lease Data,Medium,"['Rent-to-Sales Ratio / Health Ratio', 'Rent-to-Sales Ratio', 'Health Ratio']",missing
tenant_credit_rating_credit_quality,Tenant Credit Rating / Credit Quality,Leasing & Income Durability,Creditworthiness,Source File,Medium,"['Tenant Credit Rating / Credit Quality', 'Tenant Credit Rating', 'Credit Quality']",missing
guaranty_coverage,Guaranty Coverage,Leasing & Income Durability,Strength of lease support,Rent Roll / Lease Data,Medium,['Guaranty Coverage'],missing
unit_level_profitability,Unit-level profitability,Leasing & Income Durability,Tenant/store profitability where available,Source File,Medium,['Unit-level profitability'],missing
approved_capex_budget,Approved CapEx Budget,CapEx & Capital Allocation,Total approved project spend,Acquisition Model / Closing Docs; Business Plan / Budget; Loan / Debt Docs; CapEx Tracker,High,"['Approved CapEx Budget', 'CapEx', 'Capital Expenditure', 'Capital Costs', 'Capital Allocation']",missing
capex_spent_to_date,CapEx Spent to Date,CapEx & Capital Allocation,Actual spend,Financial Statement / GL; CapEx Tracker,High,"['CapEx Spent to Date', 'CapEx', 'Capital Expenditure', 'Capital Costs', 'Capital Allocation']",missing
capex_variance,CapEx Variance,CapEx & Capital Allocation,Over/under budget,Business Plan / Budget; Financial Statement / GL; CapEx Tracker,High,"['CapEx Variance', 'CapEx', 'Capital Expenditure', 'Capital Costs', 'Capital Allocation']",missing
capex_remaining,CapEx Remaining,CapEx & Capital Allocation,Future committed spend,Financial Statement / GL; Loan / Debt Docs; CapEx Tracker,High,"['CapEx Remaining', 'CapEx', 'Capital Expenditure', 'Capital Costs', 'Capital Allocation']",missing
cost_to_complete,Cost to Complete,CapEx & Capital Allocation,All future estimated spend required,CapEx Tracker,High,['Cost to Complete'],missing
leasing_pipeline_value,Leasing Pipeline Value,CapEx & Capital Allocation,Potential NOI from active negotiations,Rent Roll / Lease Data; CapEx Tracker,High,['Leasing Pipeline Value'],missing
incremental_noi_from_business_plan,Incremental NOI from Business Plan,CapEx & Capital Allocation,Expected NOI gain from initiatives,Business Plan / Budget; Financial Statement / GL; CapEx Tracker,High,"['Incremental NOI from Business Plan', 'NOI', 'Net Operating Income']",missing
roi_on_capex,ROI on CapEx,CapEx & Capital Allocation,Return from capital project (can be Ex-Ante or Ex-Post),Business Plan / Budget; Financial Statement / GL; CapEx Tracker,High,"['ROI on CapEx', 'CapEx', 'Capital Expenditure', 'Capital Costs', 'Capital Allocation']",missing
yield_on_incremental_cost,Yield on Incremental Cost,CapEx & Capital Allocation,Similar to above for specific project,Business Plan / Budget; Financial Statement / GL; CapEx Tracker,High,['Yield on Incremental Cost'],missing
execution_gap,Execution Gap,CapEx & Capital Allocation,Actual vs Projected gap,Business Plan / Budget; Financial Statement / GL; CapEx Tracker,High,['Execution Gap'],missing
business_plan_completion,Business Plan Completion %,CapEx & Capital Allocation,Execution progress,Business Plan / Budget; CapEx Tracker,High,['Business Plan Completion %'],missing
stabilization_progress,Stabilization Progress,CapEx & Capital Allocation,Progress toward target occupancy / NOI,Business Plan / Budget; Financial Statement / GL; Rent Roll / Lease Data; CapEx Tracker,High,['Stabilization Progress'],missing
lease_up_cost_per_occupied_sf_unit,Lease-up Cost per Occupied SF/Unit,CapEx & Capital Allocation,Efficiency of lease-up,Financial Statement / GL; Rent Roll / Lease Data; CapEx Tracker,High,"['Lease-up Cost per Occupied SF/Unit', 'Lease-up Cost per Occupied SF', 'Unit']",missing
ltc,LTC,Debt & Leverage,Loan-to-cost,Acquisition Model / Closing Docs; Loan / Debt Docs; CapEx Tracker,Low,['LTC'],missing
debt_service_constant,Debt Service Constant,Debt & Leverage,Annual debt service ÷ loan amount,Loan / Debt Docs; CapEx Tracker,High,"['Debt Service Constant', 'Debt Service', 'Debt Payment', 'Loan Payment']",missing
interest_only_period_remaining,Interest-Only Period Remaining,Debt & Leverage,Remaining IO protection,Loan / Debt Docs; CapEx Tracker,Low,['Interest-Only Period Remaining'],missing
refinance_dscr,Refinance DSCR,Debt & Leverage,Underwritten coverage at refi,Business Plan / Budget; Loan / Debt Docs; CapEx Tracker,High,"['Refinance DSCR', 'DSCR', 'Debt Service Coverage Ratio', 'Debt Coverage']",missing
break_even_occupancy_monthly,Break-even Occupancy (Monthly),Debt & Leverage,Occupancy needed to cover opex and debt,Financial Statement / GL; Loan / Debt Docs; CapEx Tracker,High,"['Break-even Occupancy (Monthly)', 'Occupancy', 'Occupied %', 'Physical Occupancy', 'Economic Occupancy', 'Break-even Occupancy', 'Occupied', 'Vacancy']",missing
covenant_headroom,Covenant Headroom,Debt & Leverage,Cushion to default triggers,Financial Statement / GL; Loan / Debt Docs; CapEx Tracker,Medium,['Covenant Headroom'],missing
cash_sweep_trigger_status,Cash Sweep Trigger Status,Debt & Leverage,Whether loan cash controls may activate,Loan / Debt Docs; CapEx Tracker,Low,['Cash Sweep Trigger Status'],missing
hedging_cost_swap_cost,Hedging Cost / Swap Cost,Debt & Leverage,Cost of interest rate protection,Loan / Debt Docs; CapEx Tracker,Low,"['Hedging Cost / Swap Cost', 'Hedging Cost', 'Swap Cost']",missing
market_value,Market Value,Valuation & Returns,Current estimated value,Financial Statement / GL,High,['Market Value'],missing
direct_cap_value,Direct Cap Value,Valuation & Returns,Value using current/stabilized NOI,Financial Statement / GL,Low,['Direct Cap Value'],missing
exit_value_terminal_value,Exit Value / Terminal Value,Valuation & Returns,Anticipated sale value,Financial Statement / GL,Low,"['Exit Value / Terminal Value', 'Exit Value', 'Terminal Value']",missing
value_creation,Value Creation,Valuation & Returns,Increase from business plan or market movement,Source File,Low,['Value Creation'],missing
cash_on_cash_return,Cash-on-Cash Return,Valuation & Returns,Annual cash yield on equity,Financial Statement / GL,Low,['Cash-on-Cash Return'],missing
yield_on_cost,Yield on Cost,Valuation & Returns,Stabilized NOI ÷ total cost,Financial Statement / GL,High,['Yield on Cost'],missing
spread_to_exit_cap_development_spread,Spread to Exit Cap / Development Spread,Valuation & Returns,Yield on cost less market cap,Financial Statement / GL,High,"['Spread to Exit Cap / Development Spread', 'Spread to Exit Cap', 'Development Spread']",missing
npv,NPV,Valuation & Returns,Present value of projected cash flows,Financial Statement / GL,Low,['NPV'],missing
unrealized_gain_loss,Unrealized Gain / Loss,Valuation & Returns,Paper value creation,Source File,Low,"['Unrealized Gain / Loss', 'Unrealized Gain', 'Loss']",missing
realized_gain_loss,Realized Gain / Loss,Valuation & Returns,Actual profit on sale/refi,Source File,Low,"['Realized Gain / Loss', 'Realized Gain', 'Loss']",missing
hold_period_return_by_year,Hold Period Return by Year,Valuation & Returns,Return decomposition,Financial Statement / GL,Low,['Hold Period Return by Year'],missing
attribution_of_return,Attribution of Return,Valuation & Returns,What drove return,Source File,Low,['Attribution of Return'],missing
